https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1602277200000,2020-10-09 21:00:00,ETH/USDT,363.64,364.40,362.41,364.40,22429.748,8150516.33103,18636
1602273600000,2020-10-09 20:00:00,ETH/USDT,363.33,364.53,362.94,363.64,30507.983,11098226.93620,16707
1602270000000,2020-10-09 19:00:00,ETH/USDT,363.48,364.40,362.04,363.30,31173.346,11323475.06200,18198
1602266400000,2020-10-09 18:00:00,ETH/USDT,364.84,365.00,362.12,363.48,48781.150,17717355.58146,20096
1602262800000,2020-10-09 17:00:00,ETH/USDT,364.11,365.00,363.61,364.84,30540.629,11124791.88928,15990
1602259200000,2020-10-09 16:00:00,ETH/USDT,365.33,366.50,363.02,364.11,76212.069,27768439.67851,29573
1602255600000,2020-10-09 15:00:00,ETH/USDT,360.70,365.97,359.62,365.34,121556.626,44112844.12518,36209
1602252000000,2020-10-09 14:00:00,ETH/USDT,360.01,361.51,358.90,360.70,63331.966,22814679.97288,25847
1602248400000,2020-10-09 13:00:00,ETH/USDT,359.24,360.48,358.80,360.01,44516.092,16013578.61916,21508
1602244800000,2020-10-09 12:00:00,ETH/USDT,359.30,360.80,358.25,359.24,65788.733,23654802.23730,27424
1602241200000,2020-10-09 11:00:00,ETH/USDT,356.29,361.96,356.24,359.30,184280.213,66207057.84787,49852
1602237600000,2020-10-09 10:00:00,ETH/USDT,350.31,358.62,349.40,356.29,176556.485,62628539.19903,44552
1602234000000,2020-10-09 09:00:00,ETH/USDT,351.19,351.20,349.32,350.30,24438.327,8556689.71157,18348
1602230400000,2020-10-09 08:00:00,ETH/USDT,350.64,351.41,350.27,351.18,32777.531,11499609.35084,19405
1602226800000,2020-10-09 07:00:00,ETH/USDT,348.84,350.91,348.63,350.65,33268.850,11647572.08982,17219
1602223200000,2020-10-09 06:00:00,ETH/USDT,348.93,349.38,347.26,348.84,48476.286,16886059.32897,20539
1602219600000,2020-10-09 05:00:00,ETH/USDT,349.38,350.32,348.76,348.94,25944.995,9066177.06985,14352
1602216000000,2020-10-09 04:00:00,ETH/USDT,350.11,351.01,349.26,349.39,22370.925,7830094.37409,15603
1602212400000,2020-10-09 03:00:00,ETH/USDT,351.28,351.85,350.05,350.12,24115.756,8463333.45172,15023
1602208800000,2020-10-09 02:00:00,ETH/USDT,350.98,351.69,350.33,351.28,29968.116,10520799.16770,16522
1602205200000,2020-10-09 01:00:00,ETH/USDT,349.36,351.23,348.95,350.98,30567.005,10700984.44150,17281
1602201600000,2020-10-09 00:00:00,ETH/USDT,351.07,351.36,348.23,349.36,51247.867,17920109.64321,21006
1602198000000,2020-10-08 23:00:00,ETH/USDT,351.10,351.39,349.80,351.08,24811.930,8696112.34058,15937
1602194400000,2020-10-08 22:00:00,ETH/USDT,349.96,351.88,349.95,351.09,19202.871,6744179.29956,18784
1602190800000,2020-10-08 21:00:00,ETH/USDT,351.78,351.91,349.70,349.96,17741.759,6224707.10300,16615
